title,rate
za nikt tyle odebrac ukradnie pis wolec miec obiecac stracic to,-1
na czekac i 100 i wielki nadzieja wy rowniez wyjdzmy pokazmy sprzeciw !_! ! w_czerwiec wielki_marsz,1
atakuja_klamstwo manipulacj_dlatego sondaz_rosnac konsekwentnie_mowic,-1
rzadzacy_oszukowac czlowiek rok chciec przestac robic dostac_trzeci kadencja chciec zeby,-1
nie_wiedziec byc glosujesz pis,-1
w marzec inflacja polska 16_2 dla porownanie hiszpania_3 3 niemcy 7 4 pis drozyzna,-1
temat ostatni wscieklych klamliwy atak pis pseudo_opozycja konfederacja wywiad,-1
pis polec_? taki_swinia taki_tomek myslec_zbudowac domek_zbudowac klamstwo_niegodziwosc chamstwo_razem z,-1
terlecki_wygadac przyznac_sie pis korumpowac_posel ?,-1
pis wycinac_las starodrzew_obszar chroniony_nastawiic grabiez_nazista czas_ii wojewodztwo,-1
spelnia zyczenie szydlo polska_ruina mafia pis zyc_stan wydawac stan,-1
w_finlandia inflacja_wynosic 9 procent partia_socjaldemokratyczny przegrac_wybory w polska inflacja_wynosic 18_procent pis zajmowac taniec_trumnie papiez daleko_rzadzic,-1
znajomosci_wierchuszka pis zapewniac_oskark bezkarnosc_moze szczuc_wola dzieki swoj partyjny_protektor,-1
przewodniczacy_chelmnie l_balcerowicz zdenerwowac_babciowy tymczasem_kobieta wrocic_praca o,-1
doprowadzic dyktatury jk likwidacja uprawnienie pieniadz samorzad ! to myslec zrobic pis ! kaczastrof,-1
ile zarobic tvn24 nagonka pis lans tusk rzadzic opozycja darmo,-1
dodatkowo_dziennikarz mowic nie_straszc pis umiarkowanie_krytykuc wladza_przymykac oko i_tym podobne bzd,-1
95_sposrod 100_komisarz wyborczy caly_polska wymienic_dzien dzisiejszy w wiekszosc_przydupas ziobry pie,-1
pis poddac przegrany widmo wiezienie opozycjawygra,-1
i judasze pis ziobry powiedziec ? ? ?,-1
mamy_to ostatnia_czesc wplacic_las jestescie_wspaniac zrobic_wszystko zawiescwygramy_to ! 100_000 zloty,1
drenowanie kieszen_polak ukraincow przyzwolenie trwac_dobry najlepiej zamknac_oko udaw,-1
zeby_byc ostrzegac byc mafia_niemiecki po wygrac_wybory polaczyc_ruski mafia konfederac,-1
czy wiedziec swoj piebiak wziac organizacja wybory2023 ? powolac sedzia rekomendowan,-1
tak nalezec rozmawiac pis mafia,-1
nie pis tanczyc_grob pamietacie ? to wyobrazmy konfe szczepiona pisem,-1
terlecki_wygadac przyznac_sie pis korumpowac_posel ? pis amp_lt nigdywiecejpis silnir,-1
to standard zachodni zasciankowy polska bez uraz pis sprowadzic,-1
bardzo dobry_robota jednak troche denerwowac pis wypadac zbyt dobrze polowa jezdzic ministerialny limuzyna co kosztowac znacznie kilometrowka zwykly posel,-1
jak nazwac czlowiek popierac pis sp klamliwy wladza niszczaca prawo demokracja wlasny panstwo ? to narod ?,-1
stopien_ignorancja hierarch_przerazajacy to siegac_dna o_guzynski polski_kosciele ograny pis,-1
tusk_watpliwosc fatalny_sytuacja rolnictwo_upiorny skrzyzowac_niekompetencja pazernosc_rzad pi,-1
obywatel_wyborco pis widzu_tvp ! czy wiedziec juz_2 7_miliard zloty_przeznaczyc klamstwo tvp_pochodzic obl,-1
niech_posel kowalski_caly rzad trzymac_lapa precz_pieniadz milion_podatnik ciezko wypracowowac,-1
pis potrafic_zohydzic on musiec_dzialac rzecz ruski,-1
