tweet,sentiment
od czas wpuszczeć ukraiński zboże polski rynek decyzja rząd PiS upłynąć 9 miesiąc . być 9 miesięc …,neutral
za nikt tyle odebrać ukradnie PIS . . woleć mieć obiecać stracić to …,negative
minister podpisać dokument przyspieszyć transformacja sprawa samochód elka …,neutral
"pozytywny przekaz majstrować komisarza . PiS wierzyć oficjalny sondaż uważać , wybory przegra krete …",neutral
"platforma media atakować kłamstwo manipulacj dlatego , sondaż rosnąć . a rosnąć dlatego , …",neutral
"na czekać . i 100 % . i wielki nadzieja , Wy również . Wyjdźmy . Pokażmy sprzeciw ! ! ! "" w czerwiec wielki marsz …",positive
premier M . Morawiecki zapowiedzieć kolejny PiSowski zmiana system podatkowy . jak skończyć ostatnio nowy Ład …,neutral
PiS obchodzić rocznica smoleński 10 kwiecień . nowy data a Wielkanoc przełożyć …,neutral
skumulowany inflacja początek rząd PiS wynieść 45 % # Kaczastrof,neutral
PiS obiecać zwiększyć dzietność - najniższa 1945 . obiecać zwiększyć inwestycja . być najniższe 1996 . obiecać st …,neutral
przez rok obstrukcja # PiS wobec # KPO zabraknąć czas realizacja wielki inwestycja transformacja energetyczny …,neutral
"PIS szykuć posłuszny komisarz pokazać , wierzyć zwycięstwo . podobnie myśleć wyboriec , skoro 65 % uw …",neutral
szef FED - największego bank centralny świat - pensja roczny około . 820 złoty zgodzić następca Glapińskieg …,neutral
PiS ruski onuce finansuć Putin,neutral
"czy oznaczać by koniec kretynka udać , znać ekonomia gospodarka ? to popr …",neutral
". Atakują kłamstwo manipulacj dlatego , sondaż rosnąć , konsekwentnie mówić …",negative
"Rządzący oszukować człowiek rok chcieć , przestać robić , dostać trzeci kadencja . chcieć , żeby …",negative
po 8 rok rząd pis : - sąd pracować raz wolniej - kolejka lekarz wydłużyć 3 krotnie - wyrąb w …,neutral
w Żninie spotkanie - „ jeszcze kadencja PiS las zobaczyć ! ”,neutral
nie wiedzieć być głosujesz PiS .,negative
w PiS specjalny „ milion ” stosować liczyć wyprodukować Polska auto elektryczny maszeruć marsz pop …,neutral
"jak zauważać ekonomista , rząd chwalić ten , 2022 zadłużenie wyniosnąć "" zaledwie "" 12mld złoty . oczywiście , to …",neutral
"ale mandat wisieć włosek , zaczynać ocierać próg wyborczy , wiadomo wejść . czy co wiedzieć ?",neutral
"w marzec inflacja Polska 16 . 2 % . dla porównanie : Hiszpania 3 . 3 % , Niemcy 7 . 4 % . PiS = drożyzna",negative
. temat ostatni wściekłych kłamliwy atak PiS pseudo - opozycja konfederacja . wywiad,negative
"PIS polec ? taki świnia , taki Tomek , myśleć zbudować domek , zbudować kłamstwo , niegodziwość chamstwo razem z …",negative
""" Kolejny kadencja PiS pozwolić dokończyć zmiana Polska , uczynić niemożliwy cofnąć "" - powiedzieć Szydło wywiadzić …",neutral
"Terlecki wygadać . przyznać się , PiS korumpować poseł ?",negative
"TVP Info : "" niemiec wściec demokratyczny rząd Polska "" . demokratyczny rząd PiS prawda to , TVP …",neutral
"w wywiad tygodnik "" sieć "" powiedzieć , "" kolejny kadencja PiS pozwolić dokończyć zmiana Polska , uczyć …",neutral
"PiS wycinać las , starodrzew obszar chroniony , nastawiić grabież nazista czas II województwo …",negative
"tak wspieracie Polak stać dziecko bać rodzić ! # aferyPiS PiS wyży podatek , # PiSflacja # piSinflacja # PiStodrożyzna # piStoubóstwo",neutral
"rzecznik PiS dziennikarz TVN : "" nie wiedzieć , państwo czujecie wczorajszy niedziela …",neutral
"na tegoroczny dotacja TVP specjalnie wyemitować obligacja , pieniądz PiS zwiększyć …",neutral
Spełnia życzenie Szydło Polska ruina . Mafia PiS żyć stan wydawać stan,negative
"w Finlandia inflacja wynosić 9 procent partia socjaldemokratyczny przegrać wybory . w Polska inflacja wynosić 18 procent , PiS zajmować taniec trumnie papież daleko rządzić .",negative
"Znajomosci wierchuszką PiS zapewniać Oskark bezkarność . może szczuć wola , dzięki swój partyjny protektor . …",negative
po zapisać PiS,neutral
"przewodniczący Chełmnie : L . Balcerowicz zdenerwować Babciowy . tymczasem kobieta , wrócić praca , o …",negative
doprowadzić DYKTATURY JK likwidacja uprawnienie pieniądz samorząd ! to myśleć zrobić PiS ! # Kaczastrof,negative
ile zarobić TVN24 nagonka PIS lans Tusk rządzić opozycja darmo .,negative
"dodatkowo „ dziennikarz ” mówić „ nie straszć pis ” , umiarkowanie krytykuć władza ” , „ przymykać oko ” , i tym podobne bzd …",negative
"po prosty dostać polecenie swój szef , wykonać , zbliżać wybory , PIS robić dokładnie tak , ażeby zjechać poniżej próg wyborczy .",neutral
95 spośród 100 komisarz wyborczy cały Polska wymienić dzień dzisiejszy w większość przydupas Ziobry Pie …,negative
"ciekawed objazd pis - czytać przygotować pytanie kartka obstawa funkcjonariusz policja . czyżby obawiać się , człowiek zadawać pytanie , dostać taki , potrafić odpowiedzieć ?",neutral
"pis poddać , przegrany widmo więzienie . # OpozycjaWygra",negative
wiecej konfederacja wiecej mandatow odbiora pis ;) ),neutral
przez rok obstrukcja # PiS wobec # KPO zabraknąć czas realizacja wielki inwestycja transformacja energetyczny dotacja osiągniąć dzięki cel musieć rozliczć # KE koniec 2026r PiS skoncentrować KPO własny korzyścia materialny,neutral
i Judasze PiS Ziobry powiedzieć ? ? ?,negative
"Prosiłbym szef KEP , mówić publicznie , biskup Polska próbować zaangażować kościół popi …",neutral
"mAMY to Ostatnią część wpłacić LAS Jesteście wspaniać , zrobić wszystko , zawieśćWYGRAMY to ! 100 . 000 złoty …",positive
"absolutnie nie . to ruch obywatelski . szanować PiS wiedzieć partia być by zdolny taki mobilizacja Polak . to , działacz partyjny manifestacja znaczyć , organizować . to Polak powiedzieć nie komunistyczny pociotkom TVN .",neutral
drenowanie kieszeń Polak Ukraińców przyzwolenie trwać dobry . Najlepiej zamknąć oko udaw …,negative
"żeby być , ostrzegać być . Mafia niemiecki PO wygrać wybory , połączyć ruski mafia , Konfederac …",negative
czy wiedzieć swój Piebiak wziąć organizacja # wybory2023 ? powołać sędzia rekomendowan …,negative
tak należeć rozmawiać PiS mafia,negative
nie PiS tańczyć grob . Pamiętacie ? to wyobraźmy Konfę „ szczepioną ” . . . Pisem .,negative
a program kończyć odsunąć PiS władza,neutral
"Terlecki wygadać . przyznać się , PiS korumpować poseł ? # PiS&amp;lt;NigdywięcejPiS # SilniR …",negative
to standard zachodni zaściankowy Polska ... bez uraz PiS sprowadzić,negative
o wolność funkcjonariusz PiS upomnić prokuratura . . .,neutral
